X (ms);C0:2169[0];C1:2521[0];C2:70[0];C3:80[0]
61,875000;431,054840;418524,000000;592,049988;-3616,336426
62,062500;430,204071;418524,000000;594,900024;-3714,625000
62,250000;429,273560;418524,000000;591,750000;-3512,580078
62,437500;428,416931;418524,000000;595,750000;-3755,636475
62,625000;427,636475;418524,000000;596,150024;-3741,853516
62,812500;426,782959;425615,000000;593,400024;-3660,782715
63,000000;425,822144;425615,000000;596,849976;-3799,293945
63,187500;424,979279;425615,000000;593,900024;-3686,540771
63,375000;424,077484;425615,000000;593,150024;-3754,678711
63,562500;423,308777;425615,000000;597,000000;-3739,733643
63,750000;422,365112;432631,000000;593,350037;-3635,428711
63,937500;421,263580;432631,000000;593,450012;-3777,018311
64,125000;420,526550;432631,000000;591,500000;-3696,004395
64,312500;419,662445;432631,000000;594,150024;-3752,962158
64,500000;418,726410;432631,000000;594,549988;-3771,980713
64,687500;417,992706;439567,000000;595,000000;-3619,272461
64,875000;416,967529;439567,000000;595,349976;-3793,486084
65,062500;416,228058;439567,000000;591,200012;-3725,303467
65,250000;415,121735;439567,000000;592,800049;-3647,050537
65,437500;414,342834;439567,000000;595,000000;-3888,132080
65,625000;413,388458;439567,000000;597,799988;-3658,010986
65,812500;412,535095;446422,000000;595,000000;-3705,450928
66,000000;411,801514;446422,000000;591,599976;-3828,830322
66,187500;410,640564;446422,000000;593,650024;-3660,644775
66,375000;410,013367;446422,000000;593,250000;-3870,203125
66,562500;408,812256;446422,000000;591,400024;-3730,824951
66,750000;408,228607;453196,000000;592,849976;-3584,354980
66,937500;407,127533;453196,000000;592,349976;-3828,647217
67,125000;406,144135;453196,000000;593,000000;-3620,129883
67,312500;405,465546;453196,000000;593,150024;-3581,461426
67,500000;404,266937;453196,000000;592,300049;-3823,697021
67,687500;403,662964;459893,000000;588,650024;-3624,671143
67,875000;402,507355;459893,000000;596,150024;-3625,202393
68,062500;401,890411;459893,000000;593,349976;-3739,190674
68,250000;400,856567;459893,000000;596,550049;-3449,549805
68,437500;399,812347;459893,000000;594,950012;-3714,749268
68,625000;399,006775;459893,000000;594,500000;-3669,507813
68,812500;397,955353;466510,000000;592,800049;-3314,742920
69,000000;397,323059;466510,000000;587,750000;-3721,185547
69,187500;396,160034;466510,000000;592,400024;-3616,271484
69,375000;395,594177;466510,000000;594,150024;-3583,507813
69,562500;394,380493;466510,000000;592,500000;-3896,657227
69,750000;393,606812;473042,000000;593,150024;-3623,429199
69,937500;392,846283;473042,000000;591,400024;-3562,970459
70,125000;391,611084;473042,000000;592,650024;-3743,596924
70,312500;390,964081;473042,000000;593,150024;-3654,395752
70,500000;390,170959;473042,000000;588,150024;-3672,373047
70,687500;388,830780;479494,000000;587,800049;-3798,692627
70,875000;388,187714;479494,000000;593,150024;-3628,136475
71,062500;387,008118;479494,000000;593,349976;-3472,089844
71,250000;386,235352;479494,000000;595,100037;-3563,736572
71,437500;385,428131;479494,000000;592,099976;-3509,943604
71,625000;384,200287;479494,000000;591,750000;-3581,371826
71,812500;383,668976;485865,000000;592,349976;-3631,633301
72,000000;382,837585;485865,000000;590,200012;-3432,328857
72,187500;381,403595;485865,000000;591,200012;-3700,666504
72,375000;380,929688;485865,000000;589,950012;-3752,398682
72,562500;379,952789;485865,000000;589,450012;-3364,707764
72,750000;378,863770;492159,000000;589,000000;-3589,805176
72,937500;378,149384;492159,000000;588,799988;-3695,305908
73,125000;377,048126;492159,000000;591,900024;-3454,479004
73,312500;376,240753;492159,000000;591,550049;-3679,583252
73,500000;375,142670;492159,000000;589,099976;-3640,746582
73,687500;374,496887;498365,000000;588,800049;-3522,971436
73,875000;373,554138;498365,000000;587,450012;-3757,028809
74,062500;372,502777;498365,000000;588,600037;-3593,240479
74,250000;371,822968;498365,000000;587,150024;-3561,398926
74,437500;370,565338;498365,000000;588,400024;-3763,597900
74,625000;369,840454;498365,000000;588,050049;-3611,206299
74,812500;369,048431;504495,000000;588,300049;-3637,503662
75,000000;367,668671;504495,000000;589,349976;-3705,495605
75,187500;367,445618;504495,000000;589,000000;-3586,709961
75,375000;366,250824;504495,000000;593,050049;-3452,500732
75,562500;365,194946;504495,000000;591,700012;-3644,660156
75,750000;364,583923;510543,000000;590,349976;-3582,331543
75,937500;363,203339;510543,000000;585,849976;-3303,666504
76,125000;362,632813;510543,000000;582,250000;-3695,904785
76,312500;361,775879;510543,000000;584,099976;-3613,468994
76,500000;360,616028;510543,000000;590,349976;-3269,982910
76,687500;360,030396;516511,000000;585,250000;-3672,934570
76,875000;358,924408;516511,000000;583,700012;-3576,049072
77,062500;357,931885;516511,000000;581,800049;-3462,181152
77,250000;357,329590;516511,000000;586,349976;-3853,607178
77,437500;356,351166;516511,000000;586,950012;-3740,407715
77,625000;355,179779;516511,000000;582,550049;-3595,887451
77,812500;354,485138;522397,000000;588,450012;-3807,861084
78,000000;353,416931;522397,000000;586,349976;-3689,710693
78,187500;352,613953;522397,000000;583,599976;-3602,143799
78,375000;351,814850;522397,000000;581,800049;-3805,432373
78,562500;350,518738;522397,000000;584,599976;-3665,295166
78,750000;349,888031;528200,000000;583,900024;-3621,920166
78,937500;348,797241;528200,000000;583,299988;-3706,149414
79,125000;347,954163;528200,000000;583,650024;-3643,018066
79,312500;347,387787;528200,000000;583,150024;-3616,351318
79,500000;345,894531;528200,000000;582,150024;-3622,447998
79,687500;345,431976;533925,000000;584,550049;-3748,701172
79,875000;344,363953;533925,000000;582,849976;-3547,973633
80,062500;343,183838;533925,000000;582,299988;-3490,534668
80,250000;342,911346;533925,000000;582,400024;-3731,513672
80,437500;341,659515;533925,000000;584,799988;-3542,543457
80,625000;340,579987;533925,000000;582,200012;-3573,442627
80,812500;339,916840;539569,000000;580,099976;-3705,449707
81,000000;338,998291;539569,000000;578,050049;-3483,766602
81,187500;338,013000;539569,000000;581,950012;-3605,381592
81,375000;337,226715;539569,000000;583,000000;-3837,108643
81,562500;336,360291;539569,000000;584,050049;-3676,327637
81,750000;335,289703;545138,000000;584,450012;-3723,134033
81,937500;334,475800;545138,000000;579,000000;-3832,862305
82,125000;333,608978;545138,000000;581,400024;-3660,788818
82,312500;332,488892;545138,000000;578,250000;-3767,023193
82,500000;331,986481;545138,000000;580,300049;-3892,747559
82,687500;330,758026;550622,000000;580,050049;-3707,789307
82,875000;329,644379;550622,000000;578,950012;-3787,922363
83,062500;329,277344;550622,000000;579,950012;-3717,307373
83,250000;327,848938;550622,000000;579,200012;-3483,489502
83,437500;327,142181;550622,000000;580,099976;-3777,288574
83,625000;326,371063;550622,000000;573,950012;-3650,604492
83,812500;325,206146;556024,000000;577,950012;-3408,015869
84,000000;324,658569;556024,000000;580,200012;-3822,906250
84,187500;323,686920;556024,000000;579,300049;-3685,419189
84,375000;322,563416;556024,000000;581,250000;-3462,932861
84,562500;321,845337;556024,000000;581,650024;-3823,461426
84,750000;320,861450;561344,000000;577,849976;-3682,880859
84,937500;320,118774;561344,000000;582,050049;-3597,528320
85,125000;319,140900;561344,000000;581,400024;-3889,960938
85,312500;318,181610;561344,000000;580,599976;-3774,945068
85,500000;317,348938;561344,000000;576,750000;-3676,539795
85,687500;316,343323;566590,000000;577,850037;-3756,110107
85,875000;315,499420;566590,000000;574,349976;-3730,237305
86,062500;314,832062;566590,000000;574,100037;-3772,313965
86,250000;313,595734;566590,000000;576,500000;-3714,953613
86,437500;312,729584;566590,000000;579,099976;-3746,480957
86,625000;312,204742;566590,000000;577,000000;-3753,137939
86,812500;310,855499;571755,000000;578,700012;-3605,528809
87,000000;310,112549;571755,000000;581,250000;-3783,131104
87,187500;309,498322;571755,000000;579,050049;-3674,218994
87,375000;308,276123;571755,000000;577,500000;-3506,996338
87,562500;307,361053;571755,000000;577,099976;-3838,928467
87,750000;306,794525;576836,000000;577,800049;-3681,275391
87,937500;305,611725;576836,000000;578,250000;-3435,223389
88,125000;304,711975;576836,000000;577,700012;-3762,395752
88,312500;304,226898;576836,000000;578,400024;-3607,823486
88,500000;302,982697;576836,000000;576,849976;-3422,113525
88,687500;302,248291;581841,000000;577,550049;-3813,266602
88,875000;301,567139;581841,000000;574,650024;-3545,436035
